"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
326,2059975553,10,-16,16,10,16,0,-16,0,0,10
327,2059975912,10,-16,16,10,16,0,-16,0,0,20
328,2059976350,10,-16,16,10,16,0,-16,0,10,0
329,2059976772,10,-16,16,10,16,0,-16,0,10,10
330,2059977178,10,-16,16,10,16,0,-16,0,10,20
331,2059977537,10,-16,16,10,16,0,-16,0,20,0
332,2059977787,10,-16,16,10,16,0,-16,0,20,10
333,2059978100,10,-16,16,10,16,0,-16,0,20,20
334,2059978459,10,-16,16,10,16,0,-16,10,0,0
335,2059978803,10,-16,16,10,16,0,-16,10,0,10
336,2059979147,10,-16,16,10,16,0,-16,10,0,20
337,2059979584,10,-16,16,10,16,0,-16,10,10,0
338,2059979975,10,-16,16,10,16,0,-16,10,10,10
339,2059980381,10,-16,16,10,16,0,-16,10,10,20
340,2059980631,10,-16,16,10,16,0,-16,10,20,0
341,2059980975,10,-16,16,10,16,0,-16,10,20,10
342,2059981334,10,-16,16,10,16,0,-16,10,20,20
343,2059981631,10,-16,16,10,16,0,-16,20,0,0
344,2059982053,10,-16,16,10,16,0,-16,20,0,10
345,2059982459,10,-16,16,10,16,0,-16,20,0,20
346,2059982818,10,-16,16,10,16,0,-16,20,10,0
347,2059983209,10,-16,16,10,16,0,-16,20,10,10
348,2059983584,10,-16,16,10,16,0,-16,20,10,20
349,2059984053,10,-16,16,10,16,0,-16,20,20,0
350,2059984428,10,-16,16,10,16,0,-16,20,20,10
351,2059984787,10,-16,16,10,16,0,-16,20,20,20
352,2059985162,10,-16,16,10,16,10,-16,0,0,0
353,2059985506,10,-16,16,10,16,10,-16,0,0,10
354,2059985818,10,-16,16,10,16,10,-16,0,0,20
355,2059986131,10,-16,16,10,16,10,-16,0,10,0
356,2059986553,10,-16,16,10,16,10,-16,0,10,10
357,2059986943,10,-16,16,10,16,10,-16,0,10,20
358,2059987365,10,-16,16,10,16,10,-16,0,20,0
359,2059987772,10,-16,16,10,16,10,-16,0,20,10
360,2059988162,10,-16,16,10,16,10,-16,0,20,20
361,2059988584,10,-16,16,10,16,10,-16,10,0,0
362,2059988928,10,-16,16,10,16,10,-16,10,0,10
363,2059989256,10,-16,16,10,16,10,-16,10,0,20
364,2059989522,10,-16,16,10,16,10,-16,10,10,0
365,2059989834,10,-16,16,10,16,10,-16,10,10,10
366,2059990147,10,-16,16,10,16,10,-16,10,10,20
367,2059990459,10,-16,16,10,16,10,-16,10,20,0
368,2059990881,10,-16,16,10,16,10,-16,10,20,10
369,2059991256,10,-16,16,10,16,10,-16,10,20,20
370,2059991600,10,-16,16,10,16,10,-16,20,0,0
371,2059991912,10,-16,16,10,16,10,-16,20,0,10
372,2059992209,10,-16,16,10,16,10,-16,20,0,20
